ekatte;postal_code;type;name;name_latin;municipality;municipality_latin;district;district_latin
20331;2961;с.;Дебрен;Debren;Гърмен;Garmen;Благоевград;Blagoevgrad
20345;2803;с.;Дебрене;Debrene;Сандански;Sandanski;Благоевград;Blagoevgrad
20359;9353;с.;Дебрене;Debrene;Добрич-селска;Dobrich-selska;Добрич;Dobrich
20362;4414;с.;Дебръщица;Debrashtitsa;Пазарджик;Pazardzhik;Пазарджик;Pazardzhik
20376;3065;с.;Девене;Devene;Враца;Vratsa;Враца;Vratsa
20383;5995;с.;Девенци;Deventsi;Червен бряг;Cherven bryag;Плевен;Pleven
20393;6934;с.;Девесилица;Devesilitsa;Крумовград;Krumovgrad;Кърджали;Kardzhali
20403;6933;с.;Девесилово;Devesilovo;Крумовград;Krumovgrad;Кърджали;Kardzhali
20417;8480;с.;Деветак;Devetak;Карнобат;Karnobat;Бургас;Burgas
20420;5555;с.;Деветаки;Devetaki;Ловеч;Lovech;Ловеч;Lovech
20434;5050;с.;Деветаците;Devetatsite;Велико Търново;Veliko Tarnovo;Велико Търново;Veliko Tarnovo
20448;8474;с.;Деветинци;Devetintsi;Карнобат;Karnobat;Бургас;Burgas
20465;4800;гр.;Девин;Devin;Девин;Devin;Смолян;Smolyan
20479;7972;с.;Девино;Devino;Антоново;Antonovo;Търговище;Targovishte
24966;6833;с.;Девинци;Devintsi;Момчилград;Momchilgrad;Кърджали;Kardzhali
20482;9160;гр.;Девня;Devnya;Девня;Devnya;Варна;Varna
20496;6861;с.;Дедец;Dedets;Кирково;Kirkovo;Кърджали;Kardzhali
20506;5089;с.;Дедина;Dedina;Златарица;Zlataritsa;Велико Търново;Veliko Tarnovo
24880;6779;с.;Дедино;Dedino;Ардино;Ardino;Кърджали;Kardzhali
20514;5089;с.;Дединци;Dedintsi;Златарица;Zlataritsa;Велико Търново;Veliko Tarnovo
20523;4106;с.;Дедово;Dedovo;Родопи;Rodopi;Пловдив;Plovdiv
20537;5935;с.;Деков;Dekov;Белене;Belene;Плевен;Pleven
20540;2728;с.;Делвино;Delvino;Благоевград;Blagoevgrad;Благоевград;Blagoevgrad
20554;6896;с.;Делвино;Delvino;Кирково;Kirkovo;Кърджали;Kardzhali
20568;3795;с.;Делейна;Deleyna;Брегово;Bregovo;Видин;Vidin
20571;5084;с.;Делова махала;Delova mahala;Златарица;Zlataritsa;Велико Търново;Veliko Tarnovo
20585;2917;с.;Делчево;Delchevo;Гоце Делчев;Gotse Delchev;Благоевград;Blagoevgrad
20609;7427;с.;Делчево;Delchevo;Исперих;Isperih;Разград;Razgrad
20612;2652;с.;Делян;Delyan;Дупница;Dupnitsa;Кюстендил;Kyustendil
20626;2225;с.;Делян;Delyan;Божурище;Bozhurishte;София;Sofia
20630;5292;с.;Деляновци;Delyanovtsi;Свищов;Svishtov;Велико Търново;Veliko Tarnovo
20643;9772;с.;Денница;Dennitsa;Венец;Venets;Шумен;Shumen
20657;8726;с.;Денница;Dennitsa;Болярово;Bolyarovo;Ямбол;Yambol
20660;5377;с.;Денчевци;Denchevtsi;Дряново;Dryanovo;Габрово;Gabrovo
20674;6539;с.;Дервишка могила;Dervishka mogila;Свиленград;Svilengrad;Хасково;Haskovo
20688;5780;с.;Дерманци;Dermantsi;Луковит;Lukovit;Ловеч;Lovech
2765;8483;с.;Детелина;Detelina;Карнобат;Karnobat;Бургас;Burgas
20701;9111;с.;Детелина;Detelina;Долни чифлик;Dolni chiflik;Варна;Varna
20715;5041;с.;Дечковци;Dechkovtsi;Велико Търново;Veliko Tarnovo;Велико Търново;Veliko Tarnovo
20729;2060;с.;Джамузовци;Dzhamuzovtsi;Ихтиман;Ihtiman;София;Sofia
20732;6908;с.;Джанка;Dzhanka;Крумовград;Krumovgrad;Кърджали;Kardzhali
20746;6850;гр.;Джебел;Dzhebel;Джебел;Dzhebel;Кърджали;Kardzhali
20755;6824;с.;Джелепско;Dzhelepsko;Момчилград;Momchilgrad;Кърджали;Kardzhali
20763;2648;с.;Джерман;Dzherman;Дупница;Dupnitsa;Кюстендил;Kyustendil
20777;6872;с.;Джерово;Dzherovo;Кирково;Kirkovo;Кърджали;Kardzhali
20780;2812;с.;Джигурово;Dzhigurovo;Сандански;Sandanski;Благоевград;Blagoevgrad
20804;8691;с.;Джинот;Dzhinot;Стралджа;Straldzha;Ямбол;Yambol
20818;2483;с.;Джинчовци;Dzhinchovtsi;Трън;Tran;Перник;Pernik
20835;5146;с.;Джулюница;Dzhulyunitsa;Лясковец;Lyaskovets;Велико Търново;Veliko Tarnovo
20849;7137;с.;Джулюница;Dzhulyunitsa;Ценово;Tsenovo;Русе;Ruse
20852;5343;с.;Джумриите;Dzhumriite;Габрово;Gabrovo;Габрово;Gabrovo
20883;4241;с.;Джурково;Dzhurkovo;Лъки;Laki;Пловдив;Plovdiv
20897;2163;с.;Джурово;Dzhurovo;Правец;Pravets;София;Sofia
20907;5380;с.;Джуровци;Dzhurovtsi;Дряново;Dryanovo;Габрово;Gabrovo
20938;9811;с.;Дибич;Dibich;Шумен;Shumen;Шумен;Shumen
20941;3492;с.;Дива Слатина;Diva Slatina;Георги Дамяново;Georgi Damyanovo;Монтана;Montana
20969;5345;с.;Дивеци;Divetsi;Габрово;Gabrovo;Габрово;Gabrovo
20972;2457;с.;Дивля;Divlya;Земен;Zemen;Перник;Pernik
20986;2350;с.;Дивотино;Divotino;Перник;Pernik;Перник;Pernik
20996;5727;с.;Дивчовото;Divchovoto;Тетевен;Teteven;Ловеч;Lovech
21004;4994;с.;Диманово;Dimanovo;Неделино;Nedelino;Смолян;Smolyan
