municipality_code;municipality;municipality_latin;rik_code;rik_name
2032;Ситово;Sitovo;20;Силистра
2034;Тутракан;Tutrakan;20;Силистра
2111;Котел;Kotel;21;Сливен
2116;Нова Загора;Nova Zagora;21;Сливен
2120;Сливен;Sliven;21;Сливен
2124;Твърдица;Tvarditsa;21;Сливен
2202;Баните;Banite;22;Смолян
2205;Борино;Borino;22;Смолян
2209;Девин;Devin;22;Смолян
2210;Доспат;Dospat;22;Смолян
2211;Златоград;Zlatograd;22;Смолян
2216;Мадан;Madan;22;Смолян
2218;Неделино;Nedelino;22;Смолян
2227;Рудозем;Rudozem;22;Смолян
2231;Смолян;Smolyan;22;Смолян
2238;Чепеларе;Chepelare;22;Смолян
2346;Столична община;Stolichna obshtina;23;София 23 МИР
2446;Столична община;Stolichna obshtina;24;София 24 МИР
2546;Столична община;Stolichna obshtina;25;София 25 МИР
2606;Божурище;Bozhurishte;26;София Област
2607;Ботевград;Botevgrad;26;София Област
2609;Годеч;Godech;26;София Област
2610;Горна Малина;Gorna Malina;26;София Област
2616;Драгоман;Dragoman;26;София Област
2617;Елин Пелин;Elin Pelin;26;София Област
2618;Етрополе;Etropole;26;София Област
2620;Ихтиман;Ihtiman;26;София Област
2624;Копривщица;Koprivshtitsa;26;София Област
2625;Костенец;Kostenets;26;София Област
2626;Костинброд;Kostinbrod;26;София Област
2634;Правец;Pravets;26;София Област
2639;Самоков;Samokov;26;София Област
2643;Своге;Svoge;26;София Област
2645;Сливница;Slivnitsa;26;София Област
2647;Златица;Zlatitsa;26;София Област
2654;Антон;Anton;26;София Област
2655;Пирдоп;Pirdop;26;София Област
2656;Мирково;Mirkovo;26;София Област
2657;Чавдар;Chavdar;26;София Област
2658;Челопеч;Chelopech;26;София Област
2659;Долна баня;Dolna banya;26;София Област
2704;Братя Даскалови;Bratya Daskalovi;27;Стара Загора
2707;Гълъбово;Galabovo;27;Стара Загора
2712;Казанлък;Kazanlak;27;Стара Загора
2722;Мъглиж;Maglizh;27;Стара Загора
2723;Опан;Opan;27;Стара Загора
2724;Павел баня;Pavel banya;27;Стара Загора
2727;Раднево;Radnevo;27;Стара Загора
2731;Стара Загора;Stara Zagora;27;Стара Загора
