section_id;registered_voters
020900022;651
020900023;178
020900024;721
020900025;771
020900026;498
020900027;337
020900028;327
020900029;381
020900030;394
020900031;86
020900032;88
020900033;61
020900034;87
020900035;108
020900036;60
020900037;42
020900038;330
020900039;59
020900040;121
020900041;51
020900042;294
020900043;265
020900044;50
020900045;164
020900046;799
020900047;239
020900048;17
020900049;73
020900050;106
020900051;169
020900052;115
020900053;81
020900054;92
020900055;158
020900056;423
020900057;24
020900058;85
021200001;358
021200002;528
021200003;516
021200004;398
021200005;28
021200007;179
021200008;24
021200009;24
021200010;14
021200011;39
021200012;44
021200013;287
021200014;18
021200016;29
021300001;471
021300002;674
021300003;645
021300004;735
021300005;356
021300006;784
021300007;966
021300008;260
021300009;24
021300010;484
021300011;67
021300012;33
021300013;468
021300014;550
021300015;43
021300016;295
021300017;189
021300018;158
021300019;221
021300020;35
021500001;474
021500002;479
021500003;423
021500004;699
021500005;775
021500006;707
021500007;622
021500008;673
021500009;741
021500010;686
021500011;715
021500012;550
021500013;589
021500014;158
021500015;821
021500016;702
021500017;864
021500018;489
021500019;323
021500020;508
021500021;404
021500022;566
021500023;503
021500024;700
021500025;41
021500026;44
021500027;439
021500028;654
021500029;67
021500030;647
021500031;602
021500032;425
021500033;518
021500034;951
021500035;1151
021500036;588
021700001;79
021700002;509
021700003;414
021700004;461
021700005;422
021700006;504
021700007;415
021700008;395
021700009;522
021700010;537
021700011;516
021700012;413
021700013;212
021700014;647
021700015;464
021700016;559
021700017;592
021700018;590
021700019;370
021700020;491
021700021;419
021700022;478
021700023;499
021700024;806
021700025;840
021700026;555
021700027;201
021700028;471
021700029;744
021700030;424
021700031;526
021700032;769
021700033;394
021700034;180
021700035;288
021700036;392
021700037;596
021700038;587
021700039;534
021700040;931
021700041;120
021700042;44
021700043;554
021700044;718
021700045;450
021700046;673
021700047;205
021700051;528
021800001;907
021800002;601
021800003;676
021800004;675
021800005;270
021800006;851
021800007;703
021800008;614
021800009;361
021800010;307
021800011;682
021800012;398
021800013;1035
021800015;180
021800016;425
021800017;449
021800018;739
021800019;801
021800020;489
021800021;492
021800022;666
021800023;791
021800024;353
021800025;451
021800026;385
021800027;550
021800028;624
021800029;944
021800030;687
021800031;384
021800032;220
021800033;542
021800034;781
021800035;435
021800036;372
021800037;598
021800038;327
021800039;947
021800041;537
021800042;316
021800043;618
021800044;342
021800045;474
021800046;823
021800047;645
021800048;661
021800049;347
021800051;1139
021800052;437
022100001;543
022100002;449
022100003;820
022100004;525
022100005;885
022100006;679
022100008;203
022100009;505
022100010;101
022100011;196
022100012;434
022100013;434
022100015;159
022100016;634
022100017;97
022100018;563
022100019;709
022100020;767
022100021;340
022100022;948
022100023;870
022300001;659
022300002;577
022300003;635
022300004;893
022300005;77
022300006;58
022300007;63
022300008;296
022300009;97
022300010;62
022300011;295
022300012;618
022300013;26
022300014;36
022300015;83
022300016;183
022300017;290
022300018;315
022300019;581
022300020;594
022300021;513
022300022;299
022300023;475
022300024;141
022300025;612
022300026;142
022300027;799
022300028;52
022300029;259
022300030;480
022700001;797
022700002;976
022700003;953
022700004;706
022700005;119
022700006;458
022700007;33
022700008;794
022700009;429
030100001;515
030100002;446
030100003;577
030100004;125
030100005;350
030100006;727
030100007;289
030100008;187
030100009;94
030100010;57
030100011;776
030100012;42
030100013;152
030100014;872
030100015;404
030100016;451
030100017;78
030200001;723
030200002;772
030200003;749
030200004;579
030200005;736
030200006;814
030200007;765
030200008;676
030200009;726
030200010;694
030200011;497
030200012;185
030200013;146
030200014;594
030200015;673
030200016;637
030200017;717
030200018;698
030200019;622
030200020;133
030200021;810
030200022;311
030200023;238
030200024;247
030200025;88
030200026;174
030200027;327
030200028;359
030200029;132
030200030;107
030200031;112
030200032;27
030200033;152
030200034;303
030200035;219
030200036;273
030200037;81
030400001;852
030400002;814
030400003;847
030400004;756
030400005;571
030400006;507
030400007;558
030400008;561
030400009;437
030400010;478
030400011;376
030400012;682
030400013;576
030400014;944
030500001;860
030500002;781
030500003;75
030500004;222
030500005;228
030500006;407
030601001;639
030601002;767
030601003;899
030601004;771
030601005;703
030601006;577
030601007;674
030601008;599
030601009;553
030601010;593
030601011;702
030601012;794
030601013;737
030601014;708
030601015;769
030601016;928
030601017;961
030601018;1043
030601019;814
030601020;958
030601021;974
030601022;750
030601023;951
030601024;927
030601025;739
030601026;876
030601027;712
030601028;855
030601029;719
030601030;859
030601031;583
030601032;893
030601033;922
030601034;728
030601035;727
030601036;553
030601037;696
030601038;805
030601039;860
030601040;540
030601041;600
030601042;726
030601043;737
030601044;651
030601045;704
030601046;874
030601047;871
030601048;895
030601049;802
030601050;913
030601051;897
030601052;835
030601053;766
030601054;862
030601055;890
030601056;995
030601057;912
030601058;862
030601059;951
030601060;969
030601061;812
030601062;866
030601063;910
030601064;1005
030601065;1086
030601066;845
030601067;874
030601068;938
030601069;997
030601070;922
030601071;767
030601072;716
030601073;569
030601074;399
030601075;812
030601076;879
030601077;862
030601078;958
030601079;929
030601080;923
030601081;923
030601082;895
030601083;687
030601084;875
030601085;823
030601086;577
030602087;840
030602088;778
030602089;756
030602090;721
030602091;937
030602092;957
030602093;938
030602094;973
030602095;897
030602096;1004
030602097;901
030602098;830
030602099;750
030602100;729
030602101;759
030602102;607
030602103;819
030602104;835
